,prod_name,positive_percentage
175,"Pantene Color Preserve Volume Shampoo, 25.4oz",88.88888888888889
168,Ogx Anti-breakage Keratin Oil 3 Minute Miraculous Recovery,88.88888888888889
89,"Finish Quantum Dishwasher Detergent, Lemon Sparkle Scent, 45 Count",88.57142857142857
151,Mike Dave Need Wedding Dates (dvd + Digital),88.50726552179657
124,Kind Dark Chocolate Chunk Gluten Free Granola Bars - 5 Count,88.23529411764706
266,Weleda Everon Lip Balm,87.5
244,Tostitos Bite Size Tortilla Chips,87.5
190,Post Bound Jumbo Album - Burgundy (11x14),87.5
9,Alex Cross (dvdvideo),87.2340425531915
119,"Just For Men Touch Of Gray Gray Hair Treatment, Black T-55",87.05357142857143
143,"Lysol Concentrate Deodorizing Cleaner, Original Scent",85.80645161290322
163,"Neutrogena Wet Skin Sunscreen Spray Broad Spectrum SPF 50, 5oz",85.71428571428571
108,"Hormel Chili, No Beans",85.71428571428571
180,"Physicians Formula Powder Palette Mineral Glow Pearls, Translucent Pearl",85.71428571428571
56,Chester's Cheese Flavored Puffcorn Snacks,85.31073446327684
16,"Australian Gold Exotic Blend Lotion, SPF 4",85.29411764705883
268,Windex Original Glass Cleaner Refill 67.6oz (2 Liter),85.0574712643678
238,The Honest Company Laundry Detergent,85.0
149,Metzeler ME888 Marathon Ultra Custom Touring Front Tire 100/90-19,84.61538461538461
84,Equals (blu-Ray),84.61538461538461
233,"Suave Professionals Hair Conditioner, Sleek",84.0
52,CeraVe SA Renewing Cream,84.0
79,Diet Canada Dry Ginger Ale - 12pk/12 Fl Oz Cans,83.72093023255815
239,The Resident Evil Collection 5 Discs (blu-Ray),83.4319526627219
31,Bilbao Nightstand Gray Oak - South Shore,83.33333333333334
29,"Better Built 74010862 Bet74010862 60In Crossover Two Lid, Deep, Truck Tool Box",83.33333333333334
5,4C Grated Parmesan Cheese 100% Natural 8oz Shaker,83.33333333333334
62,Clambake (dvd),83.33333333333334
221,Soothing Touch Lemon Cardamom Vegan Lip Balm .25 Oz,83.33333333333334
178,"Pendaflex174 Divide It Up File Folder, Multi Section, Letter, Assorted, 12/pack",82.9032258064516
58,Chips Ahoy! Original Chocolate Chip - Cookies - Family Size 18.2oz,82.6086956521739
33,Bisquick Original Pancake And Baking Mix - 40oz,82.4742268041237
179,"Physicians Formula Mineral Wear Talc-Free Mineral Correcting Powder, Creamy Natural",81.81818181818183
250,Trend Lab Park Nursing Cover - Paisley,81.81818181818183
186,"Pleasant Hearth 7.5 Steel Grate, 30 5 Bar - Black",81.48148148148148
104,Holmes174 Personal Indoor Heater W/ Manual Controls White 1500w Hfh131-N,81.25
214,Sizzix Framelits Dies 1by Tim Holtz Bird Crazy-Silver Asst Sizes,81.25
146,Meguiar's Deep Crystal Car Wash 64-Oz.,80.0
90,Fiskars174 Classic Stick Rotary Cutter (45 Mm),80.0
260,Wagan Smartac 80watt Inverter With Usb,80.0
255,Various Artists - Choo Choo Soul (cd),79.3103448275862
235,"Super Poligrip Denture Adhesive Cream, Ultra Fresh - 2.4 Oz",79.16666666666666
117,"Johnson's Baby Bubble Bath and Wash, 15oz",78.57142857142857
196,Queen Helene Cocoa Butter Solid,77.77777777777779
40,Bumble Bee Solid White Albacore In Water - 5 Oz,77.77777777777779
116,"Jergens Extra Moisturizing Liquid Hand Wash, 7.5oz",77.77777777777779
47,Care Free Curl Gold Instant Activator,76.92307692307693
144,Maranatha No Stir Raw Maple Almond Butter,76.47058823529412
247,Toy Story Kids' Woody Accessory Kit,75.0
139,Little Bedding By Nojo Jungle Dreams 2 Pack Sheet Set,75.0
248,Tramontina Ceramica 10 Piece Cookware Set - Red,75.0
105,Home Health Hairever Shampoo,75.0
159,Nature's Path Flax Plus Maple Pecan Crunch Cereal,75.0
26,"Beanitos Bean Chips, Simply Pinto Bean",75.0
220,Solo Foods Poppy Seed Cake and Pastry Filling,75.0
46,Cantu Coconut Milk Shine Hold Mist - 8oz,75.0
88,"Finish Gelpacs Dishwasher Detergent, Orange Scent, 84ct",75.0
202,Romantic Drama: Greatest Classic Films Collection 2 Discs,75.0
69,Concept Housewares 36 Natural Wood ceiling mounted pot rack,75.0
17,"Aveeno Baby Continuous Protection Lotion Sunscreen with Broad Spectrum SPF 55, 4oz",74.4408945686901
173,Orajel Maximum Strength Toothache Pain Relief Liquid,73.91304347826086
111,"Iman Second To None Stick Foundation, Clay 1",73.33333333333333
198,Ragu Roasted Garlic Parmesan Pasta Sauce,72.72727272727273
156,"Musselman Apple Sauce, Cinnamon, 48oz",71.42857142857143
13,Annie's Homegrown Gluten Free Double Chocolate Chip Granola Bars,71.42857142857143
34,Black Front Loading Frame Set (8.5x11) Set Of 12,66.66666666666666
229,Starbucks153 Doubleshot Protein Coffee - 11 Fl Oz,66.66666666666666
27,Bedtime Originals Pinkie Musical Mobile,66.66666666666666
106,Honeywell Heatbud Ceramic Heater Black,66.66666666666666
59,Chips Deluxe Soft 'n Chewy Cookies,66.66666666666666
165,"Newman's Own Organics Licorice Twist, Black 5oz",66.66666666666666
194,Progresso Traditional Chicken Tuscany Soup,66.66666666666666
172,Olivella Bar Soap - 3.52 Oz,66.66666666666666
14,Arrid Extra Dry Anti-Perspirant Deodorant Spray Regular,66.66666666666666
258,"Vicks Vaporub, Regular, 3.53oz",65.625
237,Tai Pei Sweet & Sour Chicken,65.0
133,"L'oreal Paris Visible Lift Smooth Absolute, Natural Buff",63.63636363636363
224,Spam Single Classic,62.5
226,Stacy's Simply Naked Bagel Chips,62.5
125,Kind Nut Delight Bar,60.0
184,Plano Mini-Magnum 13-Compartment Tackle Box,60.0
166,Nexxus Exxtra Gel Style Creation Sculptor,58.58585858585859
148,Meguiars Interior Detailer Wipes 25ct,56.25
120,K-Y Love Sensuality Pleasure Gel,55.55555555555556
150,Mia Shower Curtain Green/brown - Lush Decor174,54.54545454545454
54,Charcoal Stone Toothbrush Holder Gray,50.0
51,Ceiling Fan With Light White 14.2 X 29.9 X 9.2 - Hunter Fan,50.0
70,Coola Organic Sunscreen Classic Face Cucumber SPF 30,50.0
259,Voortman Sugar Free Fudge Chocolate Chip Cookies,50.0
44,Calvin Klein Secret Obsession Eau De Parfum,50.0
158,Nature's Path Chunky Chocolate Peanut Chewy Granola Bars,50.0
225,Stacy's Garden Veggie Medley Pita Chips,50.0
197,"RC Cola, 12oz",50.0
142,Lynk Professional174 Pull Out Cutting Board Bakeware Sliding Cabinet Organizer,33.33333333333333
243,Tim Holtz Retractable Craft Pick-Red 6x.5,33.33333333333333
23,Barielle Nail Rebuilding Protein,25.0
83,Elvis Presley - Girl Happy (cd),0.0
138,Lite Source Reiko 1 Light Table Lamp - Orange,0.0
261,Walkers Stem Ginger Shortbread,0.0
234,Sunflower Swag With Metal Frame - Nearly Natural,0.0
99,"Heinz Tomato Ketchup, 38oz",0.0
245,Tostitos Original Restaurant Style Tortilla Chips,0.0
122,Kenroy Home Table Lamp - Chrome,0.0
216,"Smead174 2 1/4 Inch Accordion Expansion Wallet, Poly, Letter, Translucent Green",0.0
